지점,일시,평균 오존전량(DU)
132,2014-06-10,360.6
132,2014-06-11,363.9
132,2014-06-12,373.7
132,2014-06-13,345
132,2014-06-14,341.5
132,2014-06-15,330.6
132,2014-06-16,322.4
132,2014-06-17,316.3
132,2014-06-18,345.8
132,2014-06-19,334.3
132,2014-06-20,333.2
132,2014-06-21,324.3
132,2014-06-22,330.1
132,2014-06-23,363.5
132,2014-06-24,351.8
132,2014-06-25,329
132,2014-06-26,329.3
132,2014-06-27,326.4
132,2014-06-28,350.8
132,2014-06-29,337.4
132,2014-06-30,336.2
132,2014-07-01,333.9
132,2014-07-02,318.4
132,2014-07-03,
132,2014-07-04,322
132,2014-07-05,309.6
132,2014-07-06,305.4
132,2014-07-07,313.3
132,2014-07-08,304.1
132,2014-07-09,278.7
132,2014-07-10,294.3
132,2014-07-11,313.5
132,2014-07-12,303.8
132,2014-07-13,310.2
132,2014-07-14,316.5
132,2014-07-15,310.1
132,2014-07-16,318.4
132,2014-07-17,313.5
132,2014-07-18,314.5
132,2014-07-19,307.6
132,2014-07-20,304
132,2014-07-21,299.1
132,2014-07-22,282.8
132,2014-07-23,
132,2014-07-24,275.5
132,2014-07-25,273.5
132,2014-07-26,
132,2014-07-27,
132,2014-07-28,330.5
132,2014-07-29,306.8
132,2014-07-30,293.7
132,2014-07-31,287.6
132,2014-08-01,266.3
132,2014-08-02,263.3
132,2014-08-03,
132,2014-08-04,279.1
132,2014-08-05,293.2
132,2014-08-06,
132,2014-08-07,
132,2014-08-08,301.4
132,2014-08-09,291.6
132,2014-08-10,315.2
132,2014-08-11,301
132,2014-08-12,303.2
132,2014-08-13,
132,2014-08-14,
132,2014-08-15,303.4
132,2014-08-16,303.8
132,2014-08-17,
132,2014-08-18,292.6
132,2014-08-19,302.9
132,2014-08-20,287.9
132,2014-08-21,
132,2014-08-22,308.6
132,2014-08-23,305.9
132,2014-08-24,299.1
132,2014-08-25,293.4
132,2014-08-26,305
132,2014-08-27,296.7
132,2014-08-28,302.9
132,2014-08-29,309
132,2014-08-30,310.2
132,2014-08-31,293.4
132,2014-09-01,315.3
132,2014-09-02,299.4
132,2014-09-03,
132,2014-09-04,307.7
132,2014-09-05,299.6
132,2014-09-06,303.7
132,2014-09-07,291.2
132,2014-09-08,297.5
132,2014-09-09,299.6
132,2014-09-10,310.1
132,2014-09-11,305.9
132,2014-09-12,292.5
132,2014-09-13,297.7
132,2014-09-14,282.7
132,2014-09-15,276.9
132,2014-09-16,283
132,2014-09-17,281.5
132,2014-09-18,281.7
132,2014-09-19,282.6
132,2014-09-20,295.2
132,2014-09-21,291.6
132,2014-09-22,293.5
132,2014-09-23,285.6
132,2014-09-24,276.8
132,2014-09-25,288.8
132,2014-09-26,289.9
132,2014-09-27,289.4
132,2014-09-28,285.9
132,2014-09-29,
132,2014-09-30,285.2
132,2014-10-01,279
132,2014-10-02,285.8
132,2014-10-03,287
132,2014-10-04,271.3
132,2014-10-05,264.7
132,2014-10-06,265.9
132,2014-10-07,282.5
132,2014-10-08,277.9
132,2014-10-09,284.4
132,2014-10-10,280.3
132,2014-10-11,267.7
132,2014-10-12,263.9
132,2014-10-13,263.4
132,2014-10-14,282.3
132,2014-10-15,304
132,2014-10-16,297.6
132,2014-10-17,289.3
132,2014-10-18,287.7
132,2014-10-19,285.6
132,2014-10-20,
132,2014-10-21,
132,2014-10-22,279.3
132,2014-10-23,301.6
132,2014-10-24,306.5
132,2014-10-25,305.7
132,2014-10-26,276.8
132,2014-10-27,293.1
132,2014-10-28,291.5
132,2014-10-29,280.1
132,2014-10-30,271.4
132,2014-10-31,
132,2014-11-01,273.9
132,2014-11-02,299.8
132,2014-11-03,294.2
132,2014-11-04,298.5
132,2014-11-05,280.9
132,2014-11-06,285.4
132,2014-11-07,280.7
132,2014-11-08,277.3
132,2014-11-09,292.4
132,2014-11-10,292.4
132,2014-11-11,278
132,2014-11-12,288.9
132,2014-11-13,317
132,2014-11-14,323.2
132,2014-11-15,302.8
132,2014-11-16,312.3
132,2014-11-17,319.2
132,2014-11-18,310.7
132,2014-11-19,301.9
132,2014-11-20,303.8
132,2014-11-21,277.8
132,2014-11-22,287.8
132,2014-11-23,292.1
132,2014-11-24,
132,2014-11-25,280.9
132,2014-11-26,297.6
132,2014-11-27,294.6
132,2014-11-28,
132,2014-11-29,284.1
132,2014-11-30,
132,2014-12-01,304.6
132,2014-12-02,328.5
132,2014-12-03,
132,2014-12-04,332.3
132,2014-12-05,342.4
132,2014-12-06,348.7
132,2014-12-07,332.1
132,2014-12-08,355.4
132,2014-12-09,346.7
132,2014-12-10,
132,2014-12-11,330.6
132,2014-12-12,341.9
132,2014-12-13,345.8
132,2014-12-14,348.1
